Product/Service Name,Quantity on hand,Item type,Category,SKU,Price,Cost,Income Account,Expense Account,Inventory asset account,Sales Description,Purchase Description,Reorder Point,Preferred Supplier
HELIX HX7 10W40  - T4,19,Inventory,,,3245,2498.28,Sales of Product Income,Cost of sales,Inventory Asset,,,,
HELIX HX8 5W40 - T1,23,Inventory,,,1180,790.55,Sales of Product Income,Cost of sales,Inventory Asset,,,,
HELIX HX8 5W40 - T4,7,Inventory,,,3895,2997.56,Sales of Product Income,Cost of sales,Inventory Asset,,,,
HELIX ULTRA 5W40 -T1,20,Inventory,,,1190,917.8,Sales of Product Income,Cost of sales,Inventory Asset,,,,
HELIX ULTRA 5W40 -T4,8,Inventory,,,4980,3334.28,Sales of Product Income,Cost of sales,Inventory Asset,,,,
Hours,0,Service,,,,,Services,,,,,,
KLAXCAR BULBS SINGLE & DOUBLE FIL 12V,10,Inventory,,,100,43.1,Sales of Product Income,Cost of sales,Inventory Asset,,,,
KLAXCAR BULBS SINGLE &DUBBLE FIL 24V,18,Inventory,,,80,43.1,Sales of Product Income,Cost of sales,Inventory Asset,,,,
KLAXCAR H4 HALOGEN BULB 12/24V,4,Inventory,,,450,301.72,Sales of Product Income,Cost of sales,Inventory Asset,,,,
KLAXCAR PARKING BULBS 12/24V,16,Inventory,,,100,43.1,Sales of Product Income,Cost of sales,Inventory Asset,,,,
KOITO HALOGEN LAMP 24V,1,Inventory,,,450,258.62,Sales of Product Income,Cost of sales,Inventory Asset,,,,
MY TONE GRACE,6,Inventory,,,390,258.62,Sales of Product Income,Cost of sales,Inventory Asset,,,,
OIL FILTER 04152-31060,2,Inventory,,,850,431.03,Sales of Product Income,Cost of sales,Inventory Asset,,,,
OIL FILTER 04152-31080/31020/38010/31060,-2,Inventory,,,550,258.62,Sales of Product Income,Cost of sales,Inventory Asset,,,,
OIL FILTER 04152-31090,3,Inventory,,,850,387.93,Sales of Product Income,Cost of sales,Inventory Asset,,,,
OIL FILTER 04152-37010,21,Inventory,,,500,103.45,Sales of Product Income,Cost of sales,Inventory Asset,,,,
OIL FILTER 04152-38020,5,Inventory,,,850,180,Sales of Product Income,Cost of sales,Inventory Asset,,,,
OIL FILTER 15208-65F00,30,Inventory,,,500,155.17,Sales of Product Income,Cost of sales,Inventory Asset,,,,
OIL FILTER 15208-AA100,1,Inventory,,,500,215.52,Sales of Product Income,Cost of sales,Inventory Asset,,,,
OIL FILTER 8-97148270-1,4,Inventory,,,700,474.14,Sales of Product Income,Cost of sales,Inventory Asset,,,,
OIL FILTER 8-97309927-0,10,Inventory,,,450,137.93,Sales of Product Income,Cost of sales,Inventory Asset,,,,
OIL FILTER 90915-03002/20001,-5,Inventory,,,500,258.62,Sales of Product Income,Cost of sales,Inventory Asset,,,,
OIL FILTER 90915-10001,45,Inventory,,,400,155.17,Sales of Product Income,Cost of sales,Inventory Asset,,,,
OIL FILTER 90915-10004/03004,2,Inventory,,,450,155.17,Sales of Product Income,Cost of sales,Inventory Asset,,,,
OIL FILTER 90915-30002/6,4,Inventory,,,500,344.83,Sales of Product Income,Cost of sales,Inventory Asset,,,,
OIL FILTER DMAX N/M  8-98165071-0,1,Inventory,,,500,172.41,Sales of Product Income,Cost of sales,Inventory Asset,,,,
OIL FILTER ISUZU FSR SL 2027/1-87810372-1,1,Inventory,,,450,344.83,Sales of Product Income,Cost of sales,Inventory Asset,,,,
OIL FILTER MDO69782,0,Inventory,,,500,344.83,Sales of Product Income,Cost of sales,Inventory Asset,,,,
OIL FILTER MITSU MD135737,24,Inventory,,,500,112.07,Sales of Product Income,Cost of sales,Inventory Asset,,,,
OIL FILTER MITSUBISHI 1-878100-75-1,0,Inventory,,,500,301.72,Sales of Product Income,Cost of sales,Inventory Asset,,,,
OIL FILTER NISSAN 15208-122W,2,Inventory,,,500,241.38,Sales of Product Income,Cost of sales,Inventory Asset,,,,
OIL FILTER ORG 04152-37010,1,Inventory,,,950,431.03,Sales of Product Income,Cost of sales,Inventory Asset,,,,
OIL FILTER ORG 04152-38010,0,Inventory,,,1000,431.03,Sales of Product Income,Cost of sales,Inventory Asset,,,,
OIL FILTER ORG 15208-AA100,1,Inventory,,,1000,301.72,Sales of Product Income,Cost of sales,Inventory Asset,,,,
OIL FILTER ORG 90915 YZZD2,0,Inventory,,,1000,301.72,Sales of Product Income,Cost of sales,Inventory Asset,,,,
OIL FILTER ORG 90915-03006,2,Inventory,,,1000,517.24,Sales of Product Income,Cost of sales,Inventory Asset,,,,
OIL FILTER ORIG 90915-10004,4,Inventory,,,950,258.62,Sales of Product Income,Cost of sales,Inventory Asset,,,,
OIL FILTER PH8A,2,Inventory,,,500,258.62,Sales of Product Income,Cost of sales,Inventory Asset,,,,
RADIATOR CAPS ASSORTED,13,Inventory,,,500,258.62,Sales of Product Income,Cost of sales,Inventory Asset,,,,
RIMULA R1(CD) 40 - T1,0,Inventory,,,500,389.93,Sales of Product Income,Cost of sales,Inventory Asset,,,,
RIMULA R3 TURBO - T1,32,Inventory,,,650,438.52,Sales of Product Income,Cost of sales,Inventory Asset,,,,
RIMULA R3 TURBO - T5,26,Inventory,,,3105,2096.9,Sales of Product Income,Cost of sales,Inventory Asset,,,,
RIMULA R4X 15W40 - T1,74,Inventory,,,695,535.03,Sales of Product Income,Cost of sales,Inventory Asset,,,,
RIMULA R4X 15W40 - T5,29,Inventory,,,3445,2651.55,Sales of Product Income,Cost of sales,Inventory Asset,,,,
RIMULA R6 LM 10W-40 CJ4 T4,1,Inventory,,,3705,2523.2,Sales of Product Income,Cost of sales,Inventory Asset,,,,
Services,0,Service,,,,,Services,,,,,,
SHELL PREMIUM LONG-LIFE AF COOLANT,221,Inventory,,,760,517.87,Sales of Product Income,Cost of sales,Inventory Asset,,,,
SILICON GREY 35GMS,5,Inventory,,,150,77.59,Sales of Product Income,Cost of sales,Inventory Asset,,,,
SILICON GREY 85.2GMS,4,Inventory,,,250,129.31,Sales of Product Income,Cost of sales,Inventory Asset,,,,
SPARK PLUG DENSO FK20HBR11,4,Inventory,,,1250,948.28,Sales of Product Income,Cost of sales,Inventory Asset,,,,
SPARK PLUG DENSO SC20HR11,4,Inventory,,,1250,948.28,Sales of Product Income,Cost of sales,Inventory Asset,,,,
SPARK PLUG DENSO SK20BGR11,6,Inventory,,,1250,948.28,Sales of Product Income,Cost of sales,Inventory Asset,,,,
SPARK PLUG DENSO SK20R11,10,Inventory,,,1250,689.66,Sales of Product Income,Cost of sales,Inventory Asset,,,,
